CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
The Grille at Hickory Hill,Neighborhood Project,Inner City Economic Development Loan,3200 Hickory Hill Road,Memphis,TN,38115,35.06147,-89.8655,3,8,12,3,4,0,0,12/13/2023,25000,Inner City Economic Development Loan,0,37500,0,0,0,37500,0,0,0,0,0,0
JamRack Entertainment LLC,Neighborhood Project,Inner City Economic Development Loan,150 N Avalon Street,Memphis,TN,38104,35.14519,-90.00683,6,8,8,3,5,0,0,12/13/2023,25000,,0,45700,0,0,0,5700,0,40000,0,0,0,0
"100 N Main, LLC Development Loan ",Other,Other,100 North Main,Memphis,TN,38103,35.14803697,-90.05161781,7,8,9,20,,,,7/17/2024,5000000,,,269000000,,,,,,,,,,
Uncle Lous Fried Chicken,Neighborhood Project,Inner City Economic Development Loan,1725 Winchester Road,Memphis,TN,38116,35.05367623,-90.0065153,3,8,10,3,4,,,3/20/2024,25000,,,400000,,,,,,,,,,
Major Pieces Boutique ,Neighborhood Project,Inner City Economic Development Loan,5693 Mount Moriah Road,Memphis,TN,38118,35.07429292,-89.87345489,4,8,11,3,3,4,,3/20/2024,25000,,,37500,,,,,,,,,,
Glamour Grooming & Boarding ,Neighborhood Project,Inner City Economic Development Loan,1127 E. Raines Road,Memphis,TN,38116,35.03527997,-90.02659991,6,8,9,3,4,4,,3/20/2024,16000,,,24000,,,,,,,,,,
Memphis Toast,Neighborhood Project,Inner City Economic Development Loan,954 Jackson Avenue,Memphis,TN,38107,35.15719965,-90.02659142,7,8,7,3,4,,,4/17/2024,24200,,,36300,,,,,,,,,,
"M.I.H. Hauling, LLC ",Neighborhood Project,Inner City Economic Development Loan,2490 Carnes Avenue,Memphis,TN,38114,35.11282701,-89.97941774,4,8,10,3,2,2,,4/17/2024,16333,,,24500,,,,,,,,,,
The Grilled Asparagus ,Neighborhood Project,Inner City Economic Development Loan,3270 Elvis Presley Blvd,Memphis,TN,38116,35.05878587,-90.02416115,3,8,10,3,15,,,5/15/2024,25000,,,148000,,,,,,,,,,
"85 Danny Thomas, LLC ",Other,Other,60 N BB KING BLVD,Memphis,TN,38103,35.14613,-90.04942,7,8,8,5,,,,8/21/2024,750000,,,4800000,,,,,,,,,,
